language,kind,key,title_ru,title_en,description_ru,description_en
ket,language,ket,Кетский язык,Ket,,
ket,group,Nominal inflection,Именное словоизменение,Nominal inflection,,
ket,tag,ABL,аблатив,ablative,Помета обозначает: аблатив.,The tag marks: ablative.
ket,tag,CAR,каритив,caritive,Помета обозначает: каритив.,The tag marks: caritive.
ket,tag,DATALL,датив-аллатив,dative-allative,Совмещённая падежная помета для адресата и направления движения.,A combined case label used for recipient and goal-of-motion contexts.
ket,tag,DATLOC,датив-локатив,dative-locative,Совмещённая падежная помета для дативных и локативных контекстов.,A combined case label used in dative and locative contexts.
ket,tag,BEN,бенефактив,benefactive,Помета обозначает: бенефактив.,The tag marks: benefactive.
ket,tag,GEN,родительный падеж,genitive,Помета обозначает: родительный падеж.,The tag marks: genitive.
ket,tag,GEN.1SG,"родительный падеж, первое лицо, единственное число","genitive, first person, singular","Помета обозначает: родительный падеж, первое лицо, единственное число.","The tag marks: genitive, first person, singular."
ket,tag,GEN.PL.NTH,"родительный падеж, множественное число, нетематический класс","genitive, plural, non-thematic","Помета обозначает: родительный падеж, множественное число, нетематический класс.","The tag marks: genitive, plural, non-thematic."
ket,tag,GEN.SG.M,"родительный падеж, единственное число, мужской род","genitive, singular, masculine","Помета обозначает: родительный падеж, единственное число, мужской род.","The tag marks: genitive, singular, masculine."
ket,tag,GEN.SG.NM,"родительный падеж, единственное число, немужской класс","genitive, singular, non-masculine","Помета обозначает: родительный падеж, единственное число, немужской класс.","The tag marks: genitive, singular, non-masculine."
ket,tag,INSTR,инструменталис,instrumental,Помета обозначает: инструменталис.,The tag marks: instrumental.
ket,tag,LOC,местный падеж,locative,Помета обозначает: местный падеж.,The tag marks: locative.
ket,tag,PROL,пролатив,prolative,Помета обозначает: пролатив.,The tag marks: prolative.
ket,tag,VOC,звательный падеж,vocative,Помета обозначает: звательный падеж.,The tag marks: vocative.
ket,tag,SG,единственное число,singular,Помета обозначает: единственное число.,The tag marks: singular.
ket,tag,PL,множественное число,plural,Помета обозначает: множественное число.,The tag marks: plural.
ket,tag,POSS.PL.NTH,"посессивность, множественное число, нетематический класс","possessive, plural, non-thematic","Помета обозначает: посессивность, множественное число, нетематический класс.","The tag marks: possessive, plural, non-thematic."
ket,group,Tense,Время,Tense,,
ket,tag,PRS,настоящее время,present,Помета обозначает: настоящее время.,The tag marks: present.
ket,tag,PST,прошедшее время,past,Помета обозначает: прошедшее время.,The tag marks: past.
ket,tag,T.PRS,"временной показатель, настоящее время","tense marker, present","Помета обозначает: временной показатель, настоящее время.","The tag marks: tense marker, present."
ket,tag,T.PST,"временной показатель, прошедшее время","tense marker, past","Помета обозначает: временной показатель, прошедшее время.","The tag marks: tense marker, past."
ket,group,Subject agreement,Субъектное согласование,Subject agreement,,
ket,tag,S1.1,"субъектный показатель серии 1, первое лицо","series 1 subject marker, first person","Помета обозначает: субъектный показатель серии 1, первое лицо.","The tag marks: series 1 subject marker, first person."
ket,tag,S1.2,"субъектный показатель серии 1, второе лицо","series 1 subject marker, second person","Помета обозначает: субъектный показатель серии 1, второе лицо.","The tag marks: series 1 subject marker, second person."
ket,tag,S1.2PL,"субъектный показатель серии 1, второе лицо, множественное число","series 1 subject marker, second person, plural","Помета обозначает: субъектный показатель серии 1, второе лицо, множественное число.","The tag marks: series 1 subject marker, second person, plural."
ket,tag,S1.3,"субъектный показатель серии 1, третье лицо","series 1 subject marker, third person","Помета обозначает: субъектный показатель серии 1, третье лицо.","The tag marks: series 1 subject marker, third person."
ket,tag,S1.3F,"субъектный показатель серии 1, третье лицо, женский род","series 1 subject marker, third person, feminine","Помета обозначает: субъектный показатель серии 1, третье лицо, женский род.","The tag marks: series 1 subject marker, third person, feminine."
ket,tag,S1.3M,"субъектный показатель серии 1, третье лицо, мужской род","series 1 subject marker, third person, masculine","Помета обозначает: субъектный показатель серии 1, третье лицо, мужской род.","The tag marks: series 1 subject marker, third person, masculine."
ket,tag,S1.3TH,"субъектный показатель серии 1, третье лицо, тематический класс","series 1 subject marker, third person, thematic class","Помета обозначает: субъектный показатель серии 1, третье лицо, тематический класс.","The tag marks: series 1 subject marker, third person, thematic class."
ket,tag,S1.PL,"субъектный показатель серии 1, множественное число","series 1 subject marker, plural","Помета обозначает: субъектный показатель серии 1, множественное число.","The tag marks: series 1 subject marker, plural."
ket,tag,S1.SG,"субъектный показатель серии 1, единственное число","series 1 subject marker, singular","Помета обозначает: субъектный показатель серии 1, единственное число.","The tag marks: series 1 subject marker, singular."
ket,tag,S2.3SG.TH,"субъектный показатель серии 2, третье лицо, единственное число, тематический класс","series 2 subject marker, third person, singular, thematic class","Помета обозначает: субъектный показатель серии 2, третье лицо, единственное число, тематический класс.","The tag marks: series 2 subject marker, third person, singular, thematic class."
ket,tag,S3.1PL,"субъектный показатель серии 3, первое лицо, множественное число","series 3 subject marker, first person, plural","Помета обозначает: субъектный показатель серии 3, первое лицо, множественное число.","The tag marks: series 3 subject marker, first person, plural."
ket,tag,S3.1SG,"субъектный показатель серии 3, первое лицо, единственное число","series 3 subject marker, first person, singular","Помета обозначает: субъектный показатель серии 3, первое лицо, единственное число.","The tag marks: series 3 subject marker, first person, singular."
ket,tag,S3.2SG,"субъектный показатель серии 3, второе лицо, единственное число","series 3 subject marker, second person, singular","Помета обозначает: субъектный показатель серии 3, второе лицо, единственное число.","The tag marks: series 3 subject marker, second person, singular."
ket,tag,S3.3M.SG,"субъектный показатель серии 3, третье лицо, мужской род, единственное число","series 3 subject marker, third person, masculine, singular","Помета обозначает: субъектный показатель серии 3, третье лицо, мужской род, единственное число.","The tag marks: series 3 subject marker, third person, masculine, singular."
ket,tag,S3.3PL,"субъектный показатель серии 3, третье лицо, множественное число","series 3 subject marker, third person, plural","Помета обозначает: субъектный показатель серии 3, третье лицо, множественное число.","The tag marks: series 3 subject marker, third person, plural."
ket,tag,S3.3SG.F,"субъектный показатель серии 3, третье лицо, единственное число, женский род","series 3 subject marker, third person, singular, feminine","Помета обозначает: субъектный показатель серии 3, третье лицо, единственное число, женский род.","The tag marks: series 3 subject marker, third person, singular, feminine."
ket,tag,S3.3SG.M,"субъектный показатель серии 3, третье лицо, единственное число, мужской род","series 3 subject marker, third person, singular, masculine","Помета обозначает: субъектный показатель серии 3, третье лицо, единственное число, мужской род.","The tag marks: series 3 subject marker, third person, singular, masculine."
ket,tag,S3.3SG.TH,"субъектный показатель серии 3, третье лицо, единственное число, тематический класс","series 3 subject marker, third person, singular, thematic class","Помета обозначает: субъектный показатель серии 3, третье лицо, единственное число, тематический класс.","The tag marks: series 3 subject marker, third person, singular, thematic class."
ket,tag,S3.3SH.F,"субъектный показатель серии 3: класс 3SH, женский род?","series 3 subject marker: 3SH class, feminine?","Помета обозначает: субъектный показатель серии 3: класс 3SH, женский род?.","The tag marks: series 3 subject marker: 3SH class, feminine?."
ket,group,Object agreement,Объектное согласование,Object agreement,,
ket,tag,O2.1PL.CORF,"объектный показатель серии 2, первое лицо, множественное число, кореферентность","series 2 object marker, first person, plural, coreferential","Помета обозначает: объектный показатель серии 2, первое лицо, множественное число, кореферентность.","The tag marks: series 2 object marker, first person, plural, coreferential."
ket,tag,O2.1SG,"объектный показатель серии 2, первое лицо, единственное число","series 2 object marker, first person, singular","Помета обозначает: объектный показатель серии 2, первое лицо, единственное число.","The tag marks: series 2 object marker, first person, singular."
ket,tag,O2.1SG.CORF,"объектный показатель серии 2, первое лицо, единственное число, кореферентность","series 2 object marker, first person, singular, coreferential","Помета обозначает: объектный показатель серии 2, первое лицо, единственное число, кореферентность.","The tag marks: series 2 object marker, first person, singular, coreferential."
ket,tag,O2.3M.CORF,"объектный показатель серии 2, третье лицо, мужской род, кореферентность","series 2 object marker, third person, masculine, coreferential","Помета обозначает: объектный показатель серии 2, третье лицо, мужской род, кореферентность.","The tag marks: series 2 object marker, third person, masculine, coreferential."
ket,tag,O2.3PL,"объектный показатель серии 2, третье лицо, множественное число","series 2 object marker, third person, plural","Помета обозначает: объектный показатель серии 2, третье лицо, множественное число.","The tag marks: series 2 object marker, third person, plural."
ket,tag,O2.3PL.CORF,"объектный показатель серии 2, третье лицо, множественное число, кореферентность","series 2 object marker, third person, plural, coreferential","Помета обозначает: объектный показатель серии 2, третье лицо, множественное число, кореферентность.","The tag marks: series 2 object marker, third person, plural, coreferential."
ket,tag,O2.3SG.M,"объектный показатель серии 2, третье лицо, единственное число, мужской род","series 2 object marker, third person, singular, masculine","Помета обозначает: объектный показатель серии 2, третье лицо, единственное число, мужской род.","The tag marks: series 2 object marker, third person, singular, masculine."
ket,tag,O2.3SG.M.CORF,"объектный показатель серии 2, третье лицо, единственное число, мужской род, кореферентность","series 2 object marker, third person, singular, masculine, coreferential","Помета обозначает: объектный показатель серии 2, третье лицо, единственное число, мужской род, кореферентность.","The tag marks: series 2 object marker, third person, singular, masculine, coreferential."
ket,tag,O2.3SG.TH,"объектный показатель серии 2, третье лицо, единственное число, тематический класс","series 2 object marker, third person, singular, thematic class","Помета обозначает: объектный показатель серии 2, третье лицо, единственное число, тематический класс.","The tag marks: series 2 object marker, third person, singular, thematic class."
ket,tag,O2.3SG.TH.CORF,"объектный показатель серии 2, третье лицо, единственное число, тематический класс, кореферентность","series 2 object marker, third person, singular, thematic class, coreferential","Помета обозначает: объектный показатель серии 2, третье лицо, единственное число, тематический класс, кореферентность.","The tag marks: series 2 object marker, third person, singular, thematic class, coreferential."
ket,tag,O3.1PL,"объектный показатель серии 3, первое лицо, множественное число","series 3 object marker, first person, plural","Помета обозначает: объектный показатель серии 3, первое лицо, множественное число.","The tag marks: series 3 object marker, first person, plural."
ket,tag,O3.1PL.CORF,"объектный показатель серии 3, первое лицо, множественное число, кореферентность","series 3 object marker, first person, plural, coreferential","Помета обозначает: объектный показатель серии 3, первое лицо, множественное число, кореферентность.","The tag marks: series 3 object marker, first person, plural, coreferential."
ket,tag,O3.1SG,"объектный показатель серии 3, первое лицо, единственное число","series 3 object marker, first person, singular","Помета обозначает: объектный показатель серии 3, первое лицо, единственное число.","The tag marks: series 3 object marker, first person, singular."
ket,tag,O3.1SG.CORF,"объектный показатель серии 3, первое лицо, единственное число, кореферентность","series 3 object marker, first person, singular, coreferential","Помета обозначает: объектный показатель серии 3, первое лицо, единственное число, кореферентность.","The tag marks: series 3 object marker, first person, singular, coreferential."
ket,tag,O3.2SG,"объектный показатель серии 3, второе лицо, единственное число","series 3 object marker, second person, singular","Помета обозначает: объектный показатель серии 3, второе лицо, единственное число.","The tag marks: series 3 object marker, second person, singular."
ket,tag,O3.3M.SG,"объектный показатель серии 3, третье лицо, мужской род, единственное число","series 3 object marker, third person, masculine, singular","Помета обозначает: объектный показатель серии 3, третье лицо, мужской род, единственное число.","The tag marks: series 3 object marker, third person, masculine, singular."
ket,tag,O3.3PL,"объектный показатель серии 3, третье лицо, множественное число","series 3 object marker, third person, plural","Помета обозначает: объектный показатель серии 3, третье лицо, множественное число.","The tag marks: series 3 object marker, third person, plural."
ket,tag,O3.3PL.CORF,"объектный показатель серии 3, третье лицо, множественное число, кореферентность","series 3 object marker, third person, plural, coreferential","Помета обозначает: объектный показатель серии 3, третье лицо, множественное число, кореферентность.","The tag marks: series 3 object marker, third person, plural, coreferential."
ket,tag,O3.3PLCORF,"объектный показатель серии 3: третье лицо, множественное число, кореферентность","series 3 object marker: third person, plural, coreferential","Помета обозначает: объектный показатель серии 3: третье лицо, множественное число, кореферентность.","The tag marks: series 3 object marker: third person, plural, coreferential."
ket,tag,O3.3SG.F,"объектный показатель серии 3, третье лицо, единственное число, женский род","series 3 object marker, third person, singular, feminine","Помета обозначает: объектный показатель серии 3, третье лицо, единственное число, женский род.","The tag marks: series 3 object marker, third person, singular, feminine."
ket,tag,O3.3SG.M,"объектный показатель серии 3, третье лицо, единственное число, мужской род","series 3 object marker, third person, singular, masculine","Помета обозначает: объектный показатель серии 3, третье лицо, единственное число, мужской род.","The tag marks: series 3 object marker, third person, singular, masculine."
